銘柄名,スパークリング清酒「益々」 / Masu Masu - Celebration
対応レベル,プロ
作成日,2025-07-02

カテゴリ,質問,回答
"製造工程","どんな酵母を使っていますか？","スパークリング清酒「益々」 / Masu Masu - Celebrationの酵母情報は非公開となっております。"
"製造工程","火入れは何回されていますか？","スパークリング清酒「益々」 / Masu Masu - Celebrationは通常の火入れ処理（2回）を行っています。"
"製造工程","もろみ期間はどれくらい？","約20-25日間のもろみ期間です。"
"製造工程","どんな搾り方をしていますか？","圧搾機を使用して搾っています。"
"科学データ","日本酒度はいくつですか？","日本酒度：+1〜+3（やや辛口）"
"科学データ","酸度やアミノ酸度は？","酸度：1.2-1.5、アミノ酸度：1.0-1.3"
"科学データ","香りの主成分は？","穏やかな米由来の香り成分"
"科学データ","この酒はガス感がありますか？","はい、微かなガス感があります。"
"熟成・保管","熟成期間は？","3-6ヶ月の熟成期間"
"熟成・保管","保存推奨温度は？","冷暗所（15℃以下）で保存"
"輸出・認証","海外輸出はしていますか？","現在、海外輸出は行っておりませんが、将来的には検討しております。"
